account_id,tier,created_at,device_mac_hash
acc_1,Standard,2023-05-05,mac_332301
acc_2,Standard,2024-11-25,mac_972264
acc_3,Standard,2022-12-19,mac_871563
acc_4,Standard,2024-11-15,mac_404165
acc_5,Premium,2023-07-10,mac_654880
acc_6,Metal,2024-04-16,mac_470260
acc_7,Metal,2022-12-24,mac_934072
acc_8,Premium,2024-03-18,mac_117515
acc_9,Premium,2024-11-09,mac_910678
acc_10,Standard,2023-04-08,mac_277446
acc_11,Standard,2023-07-04,mac_860854
acc_12,Standard,2023-08-12,mac_591585
acc_13,Standard,2024-08-14,mac_371152
acc_14,Metal,2023-01-08,mac_348962
acc_15,Premium,2024-05-30,mac_790645
acc_16,Standard,2024-05-09,mac_231903
acc_17,Premium,2023-11-02,mac_508256
acc_18,Standard,2024-09-08,mac_290460
acc_19,Metal,2023-11-28,mac_681675
acc_20,Standard,2023-11-13,mac_202775
acc_21,Metal,2023-07-05,mac_399507
acc_22,Premium,2024-12-22,mac_914802
acc_23,Standard,2023-03-01,mac_980152
acc_24,Premium,2023-12-01,mac_609512
acc_25,Premium,2023-10-29,mac_349654
acc_26,Premium,2024-04-24,mac_488019
acc_27,Standard,2024-11-23,mac_727183
acc_28,Standard,2023-03-28,mac_734062
acc_29,Premium,2023-12-31,mac_343737
acc_30,Standard,2024-05-10,mac_388328
acc_31,Standard,2022-12-24,mac_755580
acc_32,Standard,2023-09-18,mac_724119
acc_33,Metal,2024-10-03,mac_310342
acc_34,Premium,2024-10-03,mac_529108
acc_35,Standard,2023-03-15,mac_641492
acc_36,Standard,2024-03-30,mac_383829
acc_37,Standard,2024-04-04,mac_649386
acc_38,Standard,2024-07-23,mac_142651
acc_39,Standard,2024-07-05,mac_797085
acc_40,Premium,2024-09-01,mac_864605
acc_41,Premium,2024-11-15,mac_147025
acc_42,Premium,2023-10-18,mac_592294
acc_43,Metal,2023-04-04,mac_306808
acc_44,Standard,2024-08-31,mac_849600
acc_45,Standard,2024-05-07,mac_522970
acc_46,Premium,2023-11-20,mac_264619
acc_47,Standard,2023-12-10,mac_822092
acc_48,Standard,2024-08-14,mac_912852
acc_49,Premium,2023-08-17,mac_346146
acc_50,Premium,2024-10-29,mac_672529
acc_51,Standard,2024-01-25,mac_337260
acc_52,Premium,2023-07-31,mac_861352
acc_53,Standard,2023-07-07,mac_733683
acc_54,Standard,2023-02-22,mac_265162
acc_55,Standard,2023-01-05,mac_188856
acc_56,Standard,2023-05-17,mac_204501
acc_57,Premium,2023-09-18,mac_842573
acc_58,Standard,2023-03-14,mac_657703
acc_59,Premium,2023-01-11,mac_841670
acc_60,Standard,2024-04-09,mac_609160
acc_61,Standard,2023-12-28,mac_207873
acc_62,Standard,2024-01-31,mac_175907
acc_63,Standard,2023-08-06,mac_962096
acc_64,Metal,2024-06-17,mac_841028
acc_65,Premium,2023-09-05,mac_927514
acc_66,Standard,2024-11-25,mac_622475
acc_67,Standard,2024-05-29,mac_273280
acc_68,Standard,2024-01-02,mac_881625
acc_69,Premium,2023-01-23,mac_737377
acc_70,Premium,2023-09-11,mac_269751
acc_71,Metal,2024-02-14,mac_542166
acc_72,Standard,2024-08-03,mac_943662
acc_73,Standard,2023-10-20,mac_873417
acc_74,Standard,2023-07-25,mac_640445
acc_75,Premium,2023-03-04,mac_399247
acc_76,Premium,2024-02-01,mac_946117
acc_77,Standard,2023-07-29,mac_207326
acc_78,Standard,2024-03-15,mac_192148
acc_79,Premium,2025-01-16,mac_765617
acc_80,Standard,2023-05-17,mac_847754
acc_81,Premium,2025-01-05,mac_501345
acc_82,Standard,2023-10-24,mac_260813
acc_83,Standard,2024-09-12,mac_831314
acc_84,Standard,2023-07-29,mac_727322
acc_85,Standard,2022-12-18,mac_578674
acc_86,Standard,2023-06-08,mac_801496
acc_87,Standard,2024-06-14,mac_865028
acc_88,Premium,2023-06-22,mac_978212
acc_89,Standard,2023-08-27,mac_298437
acc_90,Premium,2023-05-11,mac_582237
acc_91,Standard,2024-09-26,mac_262794
acc_92,Standard,2024-08-14,mac_722168
acc_93,Premium,2024-01-11,mac_250245
acc_94,Standard,2023-05-29,mac_668029
acc_95,Premium,2024-05-09,mac_888685
acc_96,Standard,2023-10-14,mac_255337
acc_97,Standard,2024-05-15,mac_677050
acc_98,Standard,2023-06-28,mac_155161
acc_99,Metal,2023-03-15,mac_694056
acc_100,Premium,2023-02-25,mac_436690
