swipe_id,account_id,swipe_timestamp,merchant_category,status
swp_1,acc_1,2025-03-15T12:26:40Z,TRAVEL,APPROVED
swp_2,acc_1,2025-05-09T22:13:35Z,GROCERY,APPROVED
swp_3,acc_2,2025-04-30T19:36:39Z,TRAVEL,APPROVED
swp_4,acc_2,2025-03-15T04:47:54Z,GROCERY,APPROVED
swp_5,acc_3,2025-05-18T14:38:10Z,DINING,APPROVED
swp_6,acc_3,2025-04-10T10:10:57Z,DINING,APPROVED
swp_7,acc_4,2025-05-22T02:03:28Z,ENTERTAINMENT,APPROVED
swp_8,acc_4,2025-05-22T14:53:10Z,TRAVEL,APPROVED
swp_9,acc_5,2025-03-04T16:52:09Z,GROCERY,APPROVED
swp_10,acc_5,2025-04-03T11:06:43Z,DINING,APPROVED
swp_11,acc_6,2025-05-06T18:09:38Z,DINING,DECLINED
swp_12,acc_6,2025-05-06T22:10:40Z,ENTERTAINMENT,APPROVED
swp_13,acc_7,2025-05-02T04:58:32Z,GROCERY,APPROVED
swp_14,acc_7,2025-04-29T10:22:15Z,ENTERTAINMENT,APPROVED
swp_15,acc_8,2025-04-30T09:25:20Z,ENTERTAINMENT,APPROVED
swp_16,acc_8,2025-03-07T07:31:09Z,TRAVEL,APPROVED
swp_17,acc_9,2025-05-04T22:52:39Z,DINING,DECLINED
swp_18,acc_9,2025-03-12T16:55:40Z,TRAVEL,APPROVED
swp_19,acc_10,2025-04-08T12:36:43Z,GROCERY,APPROVED
swp_20,acc_10,2025-03-12T14:27:06Z,ENTERTAINMENT,APPROVED
swp_21,acc_11,2025-05-20T18:19:49Z,GROCERY,DECLINED
swp_22,acc_11,2025-05-05T15:37:25Z,TRAVEL,DECLINED
swp_23,acc_12,2025-05-04T14:43:10Z,TRAVEL,DECLINED
swp_24,acc_12,2025-04-19T12:38:21Z,ENTERTAINMENT,APPROVED
swp_25,acc_13,2025-05-06T16:54:54Z,TRAVEL,APPROVED
swp_26,acc_13,2025-04-12T08:34:23Z,ENTERTAINMENT,APPROVED
swp_27,acc_14,2025-05-11T19:31:59Z,TRAVEL,APPROVED
swp_28,acc_14,2025-03-15T05:14:39Z,GROCERY,APPROVED
swp_29,acc_15,2025-05-14T12:33:57Z,DINING,APPROVED
swp_30,acc_15,2025-05-24T01:14:42Z,ENTERTAINMENT,APPROVED
swp_31,acc_16,2025-05-20T15:12:43Z,GROCERY,APPROVED
swp_32,acc_16,2025-05-16T08:01:34Z,DINING,APPROVED
swp_33,acc_17,2025-05-01T15:25:28Z,ENTERTAINMENT,APPROVED
swp_34,acc_17,2025-04-28T19:51:33Z,TRAVEL,APPROVED
swp_35,acc_18,2025-04-27T06:35:44Z,ENTERTAINMENT,DECLINED
swp_36,acc_18,2025-05-21T01:37:57Z,GROCERY,APPROVED
swp_37,acc_19,2025-03-16T02:29:54Z,TRAVEL,APPROVED
swp_38,acc_19,2025-05-07T01:28:00Z,GROCERY,APPROVED
