tx_id,account_id,timestamp,amount,tx_type,status
tx_1,acc_1,2025-05-17T15:08:37Z,296.1,WITHDRAWAL,SUCCESS
tx_10,acc_1,2025-03-28T05:55:24Z,143.6,WITHDRAWAL,FAILED
tx_100,acc_9,2025-05-22T04:14:38Z,415.35,WITHDRAWAL,SUCCESS
tx_1000,acc_95,2025-04-05T12:51:20Z,48.93,DEPOSIT,SUCCESS
tx_1001,acc_96,2025-05-27T02:02:46Z,243.79,P2P,SUCCESS
tx_1002,acc_96,2025-05-15T15:13:40Z,294.31,P2P,SUCCESS
tx_1003,acc_96,2025-04-25T10:13:07Z,45.31,DEPOSIT,SUCCESS
tx_1004,acc_96,2025-04-30T04:34:24Z,101.74,DEPOSIT,SUCCESS
tx_1005,acc_96,2025-05-01T20:15:38Z,146.63,DEPOSIT,SUCCESS
tx_1006,acc_96,2025-03-23T21:38:28Z,232.94,WITHDRAWAL,SUCCESS
tx_1007,acc_96,2025-04-12T15:42:05Z,185.36,P2P,FAILED
tx_1008,acc_96,2025-04-10T08:21:28Z,96.0,DEPOSIT,SUCCESS
tx_1009,acc_96,2025-04-12T14:02:45Z,286.39,P2P,SUCCESS
tx_101,acc_9,2025-05-14T08:14:33Z,98.8,DEPOSIT,SUCCESS
tx_1010,acc_96,2025-03-13T14:12:24Z,291.22,DEPOSIT,SUCCESS
tx_1011,acc_97,2025-05-26T08:40:37Z,52.72,DEPOSIT,SUCCESS
tx_1012,acc_97,2025-05-13T22:36:42Z,249.56,WITHDRAWAL,SUCCESS
tx_1013,acc_97,2025-05-03T19:40:43Z,71.36,P2P,SUCCESS
tx_1014,acc_97,2025-05-01T08:01:59Z,62.37,DEPOSIT,SUCCESS
tx_1015,acc_97,2025-05-05T17:34:36Z,117.84,DEPOSIT,SUCCESS
tx_1016,acc_97,2025-04-21T03:30:41Z,38.47,P2P,SUCCESS
tx_1017,acc_97,2025-03-21T12:12:01Z,93.15,P2P,SUCCESS
tx_1018,acc_97,2025-03-15T01:49:15Z,230.27,WITHDRAWAL,SUCCESS
tx_1019,acc_97,2025-03-15T04:39:02Z,183.58,DEPOSIT,SUCCESS
tx_102,acc_9,2025-05-15T17:23:08Z,281.82,P2P,FAILED
tx_1020,acc_97,2025-03-07T15:50:41Z,208.95,P2P,FAILED
tx_1021,acc_98,2025-05-26T18:53:07Z,193.11,DEPOSIT,SUCCESS
tx_1022,acc_98,2025-05-17T22:21:46Z,219.14,DEPOSIT,FAILED
tx_1023,acc_98,2025-05-06T18:51:24Z,264.77,P2P,SUCCESS
tx_1024,acc_98,2025-04-30T13:32:26Z,245.36,DEPOSIT,SUCCESS
tx_1025,acc_98,2025-05-11T18:03:44Z,53.78,P2P,SUCCESS
tx_1026,acc_98,2025-03-10T05:11:13Z,102.11,DEPOSIT,SUCCESS
tx_1027,acc_98,2025-03-11T00:36:00Z,178.7,DEPOSIT,SUCCESS
tx_1028,acc_98,2025-03-25T16:50:02Z,48.08,WITHDRAWAL,SUCCESS
tx_1029,acc_98,2025-03-16T08:29:01Z,263.01,DEPOSIT,SUCCESS
tx_103,acc_9,2025-04-27T21:24:37Z,47.79,WITHDRAWAL,SUCCESS
tx_1030,acc_98,2025-03-18T00:53:03Z,79.75,P2P,SUCCESS
tx_1031,acc_99,2025-05-26T08:11:23Z,100.01,WITHDRAWAL,SUCCESS
tx_1032,acc_99,2025-04-27T06:58:50Z,202.19,P2P,SUCCESS
tx_1033,acc_99,2025-05-06T05:30:54Z,248.61,DEPOSIT,SUCCESS
tx_1034,acc_99,2025-04-27T20:44:59Z,145.15,P2P,SUCCESS
tx_1035,acc_99,2025-05-07T22:10:17Z,185.73,P2P,SUCCESS
tx_1036,acc_99,2025-03-02T13:58:35Z,239.47,DEPOSIT,SUCCESS
tx_1037,acc_99,2025-04-20T04:46:49Z,259.36,WITHDRAWAL,FAILED
tx_1038,acc_99,2025-04-08T00:30:35Z,152.56,P2P,SUCCESS
tx_1039,acc_99,2025-04-22T06:15:45Z,285.45,DEPOSIT,SUCCESS
tx_104,acc_9,2025-04-30T10:17:52Z,243.75,WITHDRAWAL,SUCCESS
tx_1040,acc_99,2025-04-21T09:50:50Z,202.56,WITHDRAWAL,SUCCESS
tx_1041,acc_100,2025-05-28T19:15:45Z,205.76,WITHDRAWAL,SUCCESS
tx_1042,acc_100,2025-05-16T04:54:43Z,223.77,WITHDRAWAL,SUCCESS
tx_1043,acc_100,2025-04-28T08:08:21Z,21.03,DEPOSIT,SUCCESS
tx_1044,acc_100,2025-05-21T02:01:39Z,175.97,P2P,FAILED
tx_1045,acc_100,2025-05-16T18:32:49Z,191.77,WITHDRAWAL,SUCCESS
tx_1046,acc_100,2025-03-08T13:02:00Z,280.38,P2P,SUCCESS
tx_1047,acc_100,2025-04-14T05:29:30Z,282.33,DEPOSIT,SUCCESS
tx_1048,acc_100,2025-03-23T13:31:47Z,203.5,P2P,SUCCESS
tx_1049,acc_100,2025-04-20T01:46:51Z,226.17,WITHDRAWAL,SUCCESS
tx_105,acc_9,2025-04-17T04:15:38Z,115.18,P2P,FAILED
tx_1050,acc_100,2025-04-16T13:28:32Z,151.69,DEPOSIT,SUCCESS
tx_106,acc_9,2025-03-07T15:14:16Z,133.93,DEPOSIT,FAILED
tx_107,acc_9,2025-03-20T03:39:58Z,28.98,WITHDRAWAL,SUCCESS
tx_108,acc_9,2025-03-29T17:00:14Z,82.85,DEPOSIT,SUCCESS
tx_109,acc_10,2025-05-23T07:33:44Z,397.36,WITHDRAWAL,SUCCESS
tx_11,acc_1,2025-03-13T05:49:03Z,246.6,WITHDRAWAL,SUCCESS
tx_110,acc_10,2025-05-20T19:41:20Z,288.59,WITHDRAWAL,SUCCESS
tx_111,acc_10,2025-05-20T18:10:54Z,444.78,WITHDRAWAL,SUCCESS
tx_112,acc_10,2025-05-18T03:55:52Z,248.64,WITHDRAWAL,SUCCESS
tx_113,acc_10,2025-05-01T17:42:57Z,124.69,P2P,FAILED
tx_114,acc_10,2025-05-02T18:18:31Z,280.59,P2P,FAILED
tx_115,acc_10,2025-04-25T10:07:52Z,71.35,P2P,SUCCESS
tx_116,acc_10,2025-05-06T18:50:55Z,220.66,WITHDRAWAL,SUCCESS
tx_117,acc_10,2025-04-04T16:35:07Z,287.74,P2P,SUCCESS
tx_118,acc_10,2025-03-18T14:27:17Z,86.09,WITHDRAWAL,SUCCESS
tx_119,acc_10,2025-04-01T14:37:34Z,191.49,P2P,FAILED
tx_12,acc_1,2025-04-20T01:17:49Z,84.47,WITHDRAWAL,SUCCESS
tx_120,acc_10,2025-03-31T09:07:46Z,256.55,DEPOSIT,SUCCESS
tx_121,acc_11,2025-05-20T09:45:49Z,409.27,WITHDRAWAL,SUCCESS
tx_122,acc_11,2025-05-19T11:55:13Z,359.64,WITHDRAWAL,SUCCESS
tx_123,acc_11,2025-05-24T00:07:03Z,224.45,WITHDRAWAL,SUCCESS
tx_124,acc_11,2025-05-22T20:28:52Z,323.13,WITHDRAWAL,SUCCESS
tx_125,acc_11,2025-05-11T00:29:13Z,94.32,DEPOSIT,SUCCESS
tx_126,acc_11,2025-05-11T04:23:39Z,211.2,P2P,FAILED
tx_127,acc_11,2025-05-06T15:22:25Z,217.4,WITHDRAWAL,SUCCESS
tx_128,acc_11,2025-04-26T12:43:51Z,106.66,WITHDRAWAL,SUCCESS
tx_129,acc_11,2025-04-23T13:46:28Z,230.07,DEPOSIT,SUCCESS
tx_13,acc_2,2025-05-21T09:42:10Z,214.81,WITHDRAWAL,SUCCESS
tx_130,acc_11,2025-04-23T07:05:44Z,114.04,WITHDRAWAL,SUCCESS
tx_131,acc_11,2025-04-03T09:13:16Z,277.41,WITHDRAWAL,SUCCESS
tx_132,acc_11,2025-03-16T13:58:48Z,222.15,WITHDRAWAL,SUCCESS
tx_133,acc_12,2025-05-18T10:16:25Z,192.3,WITHDRAWAL,SUCCESS
tx_134,acc_12,2025-05-19T04:05:17Z,184.9,WITHDRAWAL,SUCCESS
tx_135,acc_12,2025-05-23T11:18:26Z,515.7,WITHDRAWAL,SUCCESS
tx_136,acc_12,2025-05-18T09:40:06Z,493.54,P2P,SUCCESS
tx_137,acc_12,2025-05-01T09:59:26Z,95.89,P2P,FAILED
tx_138,acc_12,2025-05-17T10:06:42Z,243.88,P2P,SUCCESS
tx_139,acc_12,2025-04-30T15:04:17Z,234.87,WITHDRAWAL,SUCCESS
tx_14,acc_2,2025-05-21T11:49:37Z,237.47,WITHDRAWAL,SUCCESS
tx_140,acc_12,2025-05-15T15:02:08Z,38.18,WITHDRAWAL,SUCCESS
tx_141,acc_12,2025-04-15T14:13:25Z,287.48,WITHDRAWAL,SUCCESS
tx_142,acc_12,2025-03-27T23:27:59Z,176.23,P2P,FAILED
tx_143,acc_12,2025-03-23T22:45:27Z,223.05,WITHDRAWAL,SUCCESS
tx_144,acc_12,2025-03-15T07:01:45Z,114.05,P2P,FAILED
tx_145,acc_13,2025-05-24T07:35:50Z,214.75,WITHDRAWAL,SUCCESS
tx_146,acc_13,2025-05-24T02:41:08Z,262.86,WITHDRAWAL,SUCCESS
tx_147,acc_13,2025-05-18T14:29:51Z,201.37,WITHDRAWAL,SUCCESS
tx_148,acc_13,2025-05-19T00:14:59Z,211.94,WITHDRAWAL,SUCCESS
tx_149,acc_13,2025-05-10T02:29:55Z,111.4,WITHDRAWAL,SUCCESS
tx_15,acc_2,2025-05-17T17:13:20Z,340.92,WITHDRAWAL,SUCCESS
