event_id,user_id,timestamp,event_type,session_hash
evt_1,usr_1,2025-04-08T04:07:10Z,export,sess_964442
evt_2,usr_1,2025-05-14T15:38:05Z,export,sess_282120
evt_3,usr_1,2025-05-10T16:41:41Z,export,sess_789654
evt_4,usr_1,2025-05-12T20:48:36Z,feature_a,sess_259046
evt_5,usr_1,2025-04-19T18:21:46Z,feature_a,sess_637699
evt_6,usr_1,2025-05-03T19:19:30Z,logout,sess_927045
evt_7,usr_1,2025-05-17T08:49:47Z,export,sess_672596
evt_8,usr_1,2025-04-18T09:43:04Z,export,sess_622711
evt_9,usr_1,2025-05-01T09:58:20Z,logout,sess_751074
evt_10,usr_1,2025-04-26T08:42:08Z,logout,sess_252455
evt_11,usr_1,2025-05-03T16:46:44Z,export,sess_500667
evt_12,usr_1,2025-04-26T17:13:02Z,export,sess_938233
evt_13,usr_1,2025-04-28T13:17:44Z,feature_a,sess_749670
evt_14,usr_1,2025-05-09T21:50:18Z,login,sess_568492
evt_15,usr_1,2025-04-30T21:12:44Z,login,sess_216406
evt_16,usr_2,2025-05-07T12:55:44Z,logout,sess_233004
evt_17,usr_2,2025-05-02T22:40:47Z,export,sess_494113
evt_18,usr_2,2025-05-14T08:55:48Z,export,sess_756716
evt_19,usr_2,2025-04-07T13:13:21Z,export,sess_942525
evt_20,usr_2,2025-04-03T21:17:45Z,export,sess_531432
evt_21,usr_2,2025-04-29T20:21:15Z,export,sess_987967
evt_22,usr_2,2025-05-01T15:41:17Z,login,sess_956074
evt_23,usr_2,2025-04-10T05:29:49Z,export,sess_865479
evt_24,usr_2,2025-05-16T09:03:16Z,export,sess_209729
evt_25,usr_2,2025-05-01T11:13:23Z,login,sess_717486
evt_26,usr_2,2025-05-14T09:42:14Z,logout,sess_508885
evt_27,usr_2,2025-04-12T01:38:56Z,export,sess_365822
evt_28,usr_2,2025-05-15T04:25:51Z,feature_b,sess_498082
evt_29,usr_2,2025-04-16T23:37:37Z,export,sess_926596
evt_30,usr_2,2025-04-20T22:55:21Z,logout,sess_199529
evt_31,usr_3,2025-04-17T15:36:52Z,login,sess_702216
evt_32,usr_3,2025-05-04T16:46:37Z,logout,sess_208207
evt_33,usr_3,2025-04-03T17:28:10Z,export,sess_837818
evt_34,usr_3,2025-05-22T15:53:19Z,login,sess_510574
evt_35,usr_3,2025-04-24T07:09:27Z,login,sess_727635
evt_36,usr_3,2025-04-23T23:53:29Z,export,sess_593440
evt_37,usr_3,2025-04-20T20:52:47Z,logout,sess_503902
evt_38,usr_3,2025-05-23T08:16:30Z,export,sess_147723
evt_39,usr_3,2025-04-06T07:22:02Z,feature_a,sess_189982
evt_40,usr_3,2025-05-27T18:57:45Z,logout,sess_774480
evt_41,usr_3,2025-04-24T21:19:23Z,login,sess_163181
evt_42,usr_3,2025-04-29T21:12:31Z,login,sess_297221
evt_43,usr_3,2025-04-01T14:46:50Z,export,sess_470405
evt_44,usr_3,2025-05-17T07:50:42Z,login,sess_793227
evt_45,usr_3,2025-04-18T07:35:43Z,logout,sess_632766
evt_46,usr_4,2025-04-14T08:19:03Z,feature_a,sess_467904
evt_47,usr_4,2025-04-01T13:13:15Z,feature_b,sess_629475
evt_48,usr_4,2025-05-19T13:54:33Z,export,sess_132453
evt_49,usr_4,2025-04-26T00:32:44Z,feature_a,sess_526718
evt_50,usr_4,2025-04-18T09:42:52Z,export,sess_615211
evt_51,usr_4,2025-05-21T21:50:49Z,export,sess_731801
evt_52,usr_4,2025-05-14T21:54:31Z,feature_b,sess_687189
evt_53,usr_4,2025-04-10T06:05:22Z,export,sess_808688
evt_54,usr_4,2025-04-15T07:16:22Z,export,sess_488275
evt_55,usr_4,2025-04-05T23:22:02Z,export,sess_424591
evt_56,usr_4,2025-05-05T16:36:03Z,logout,sess_763034
evt_57,usr_4,2025-05-12T08:55:18Z,export,sess_928950
evt_58,usr_4,2025-05-04T18:23:55Z,export,sess_568247
evt_59,usr_4,2025-04-25T06:05:53Z,logout,sess_383005
evt_60,usr_4,2025-05-12T02:47:09Z,login,sess_544726
evt_61,usr_5,2025-05-09T02:41:31Z,export,sess_400265
evt_62,usr_5,2025-04-16T11:44:34Z,feature_a,sess_780873
evt_63,usr_5,2025-05-08T23:23:53Z,login,sess_740354
evt_64,usr_5,2025-04-26T08:01:06Z,logout,sess_928328
evt_65,usr_5,2025-05-21T12:15:39Z,export,sess_280432
evt_66,usr_5,2025-04-24T15:51:45Z,logout,sess_685852
evt_67,usr_5,2025-05-11T08:36:07Z,export,sess_858651
evt_68,usr_5,2025-04-07T02:34:42Z,login,sess_851910
evt_69,usr_5,2025-05-28T17:52:20Z,export,sess_531745
evt_70,usr_5,2025-04-17T00:44:11Z,login,sess_375709
evt_71,usr_5,2025-04-07T07:39:28Z,logout,sess_946648
evt_72,usr_5,2025-05-04T10:55:43Z,feature_a,sess_273304
evt_73,usr_5,2025-05-20T04:59:27Z,export,sess_996048
evt_74,usr_5,2025-04-07T21:55:32Z,export,sess_112516
evt_75,usr_5,2025-05-02T09:58:53Z,feature_a,sess_856520
evt_76,usr_6,2025-04-04T20:54:17Z,login,sess_667748
evt_77,usr_6,2025-04-22T11:47:42Z,login,sess_404969
evt_78,usr_6,2025-04-05T05:46:48Z,logout,sess_122340
evt_79,usr_6,2025-04-15T19:25:15Z,feature_b,sess_503386
evt_80,usr_6,2025-05-14T08:34:57Z,login,sess_638628
evt_81,usr_6,2025-05-07T02:01:39Z,export,sess_350219
evt_82,usr_6,2025-05-09T23:22:49Z,logout,sess_670392
evt_83,usr_6,2025-04-28T16:44:02Z,export,sess_658321
evt_84,usr_6,2025-04-11T12:21:57Z,logout,sess_785288
evt_85,usr_6,2025-05-08T23:38:18Z,logout,sess_748625
evt_86,usr_6,2025-04-21T21:02:22Z,logout,sess_803803
evt_87,usr_6,2025-04-24T10:13:12Z,export,sess_202693
evt_88,usr_6,2025-05-12T16:34:44Z,export,sess_496079
evt_89,usr_6,2025-04-01T12:55:25Z,logout,sess_688691
evt_90,usr_6,2025-04-27T09:25:34Z,feature_a,sess_986119
evt_91,usr_7,2025-04-17T18:52:55Z,export,sess_107312
evt_92,usr_7,2025-04-02T15:13:45Z,export,sess_454092
evt_93,usr_7,2025-05-10T16:46:45Z,login,sess_917034
evt_94,usr_7,2025-04-30T06:22:17Z,export,sess_310287
evt_95,usr_7,2025-05-16T15:24:18Z,login,sess_956545
evt_96,usr_7,2025-04-23T23:38:57Z,export,sess_577548
evt_97,usr_7,2025-05-23T11:17:22Z,export,sess_729834
evt_98,usr_7,2025-04-15T14:30:18Z,export,sess_329184
evt_99,usr_7,2025-04-26T06:17:47Z,logout,sess_571773
evt_100,usr_7,2025-04-23T03:38:51Z,logout,sess_912279
evt_101,usr_7,2025-05-13T04:49:32Z,export,sess_504074
evt_102,usr_7,2025-04-22T02:28:25Z,feature_a,sess_594698
evt_103,usr_7,2025-04-26T14:43:22Z,login,sess_711389
evt_104,usr_7,2025-05-04T09:57:53Z,feature_b,sess_504863
evt_105,usr_7,2025-04-06T18:46:36Z,logout,sess_580222
evt_106,usr_8,2025-04-24T12:28:04Z,logout,sess_356086
evt_107,usr_8,2025-05-15T02:43:42Z,feature_b,sess_311587
evt_108,usr_8,2025-05-10T14:37:09Z,export,sess_918157
evt_109,usr_8,2025-04-25T12:23:04Z,export,sess_768085
evt_110,usr_8,2025-04-09T21:07:22Z,feature_a,sess_688094
evt_111,usr_8,2025-04-03T15:29:22Z,feature_b,sess_317234
evt_112,usr_8,2025-05-14T07:44:34Z,logout,sess_239897
evt_113,usr_8,2025-05-11T11:57:48Z,export,sess_354921
evt_114,usr_8,2025-04-15T05:59:09Z,export,sess_812776
evt_115,usr_8,2025-04-27T20:45:44Z,export,sess_494547
evt_116,usr_8,2025-04-25T13:12:06Z,export,sess_995230
evt_117,usr_8,2025-04-26T05:51:51Z,logout,sess_833173
evt_118,usr_8,2025-05-02T05:35:31Z,login,sess_808830
evt_119,usr_8,2025-05-09T07:53:29Z,login,sess_605953
evt_120,usr_8,2025-05-28T01:44:55Z,logout,sess_687629
evt_121,usr_9,2025-04-27T15:17:38Z,login,sess_199984
evt_122,usr_9,2025-05-03T23:48:15Z,export,sess_126323
evt_123,usr_9,2025-05-29T04:00:21Z,export,sess_596041
evt_124,usr_9,2025-04-19T17:15:58Z,logout,sess_576761
evt_125,usr_9,2025-04-25T05:45:06Z,feature_b,sess_637716
evt_126,usr_9,2025-05-15T06:10:50Z,export,sess_876944
evt_127,usr_9,2025-05-09T19:36:07Z,feature_a,sess_769549
evt_128,usr_9,2025-05-13T04:03:45Z,logout,sess_534366
evt_129,usr_9,2025-05-18T10:50:04Z,export,sess_877570
evt_130,usr_9,2025-05-11T18:55:22Z,login,sess_643234
evt_131,usr_9,2025-05-20T10:51:47Z,login,sess_118505
evt_132,usr_9,2025-05-23T13:56:54Z,login,sess_939601
evt_133,usr_9,2025-05-16T07:28:49Z,login,sess_238200
evt_134,usr_9,2025-05-21T09:20:42Z,export,sess_527951
evt_135,usr_9,2025-05-12T06:12:03Z,export,sess_307642
evt_136,usr_10,2025-04-10T18:20:19Z,login,sess_411830
evt_137,usr_10,2025-05-27T19:08:59Z,export,sess_248938
evt_138,usr_10,2025-04-05T15:42:52Z,export,sess_737281
evt_139,usr_10,2025-04-21T16:10:38Z,logout,sess_385437
evt_140,usr_10,2025-05-06T08:26:58Z,login,sess_634446
evt_141,usr_10,2025-04-17T17:21:58Z,export,sess_229346
evt_142,usr_10,2025-04-20T10:33:17Z,export,sess_255649
evt_143,usr_10,2025-05-09T09:05:16Z,login,sess_992596
evt_144,usr_10,2025-04-14T13:49:13Z,logout,sess_114921
evt_145,usr_10,2025-05-04T22:07:58Z,login,sess_626174
evt_146,usr_10,2025-04-16T22:15:20Z,logout,sess_907571
evt_147,usr_10,2025-04-06T02:02:20Z,export,sess_582579
evt_148,usr_10,2025-05-22T07:37:25Z,login,sess_345868
evt_149,usr_10,2025-04-05T01:16:04Z,feature_a,sess_635110
evt_150,usr_10,2025-05-24T03:45:22Z,logout,sess_697258
evt_151,usr_11,2025-05-24T19:37:05Z,login,sess_423684
evt_152,usr_11,2025-05-23T12:55:23Z,login,sess_713777
evt_153,usr_11,2025-05-23T07:12:40Z,logout,sess_985176
evt_154,usr_11,2025-04-05T14:05:53Z,feature_a,sess_408375
evt_155,usr_11,2025-05-14T00:43:30Z,export,sess_679990
