inv_id,user_id,amount,status,due_date
inv_1,usr_1,299.99,FAILED,2025-06-04
inv_2,usr_1,99.99,PAID,2025-05-07
inv_3,usr_1,99.99,FAILED,2025-04-22
inv_4,usr_2,29.99,FAILED,2025-06-13
inv_5,usr_2,99.99,FAILED,2025-04-29
inv_6,usr_2,29.99,FAILED,2025-04-06
inv_7,usr_3,29.99,PAID,2025-05-11
inv_8,usr_3,99.99,PAID,2025-04-21
inv_9,usr_3,29.99,FAILED,2025-05-06
inv_10,usr_4,29.99,FAILED,2025-04-08
inv_11,usr_4,299.99,FAILED,2025-05-18
inv_12,usr_4,299.99,FAILED,2025-06-04
inv_13,usr_5,29.99,FAILED,2025-05-21
inv_14,usr_5,29.99,FAILED,2025-05-13
inv_15,usr_5,99.99,PAID,2025-04-21
inv_16,usr_6,29.99,FAILED,2025-05-10
inv_17,usr_6,29.99,PAID,2025-04-03
inv_18,usr_6,29.99,FAILED,2025-04-27
inv_19,usr_7,299.99,FAILED,2025-05-05
inv_20,usr_7,99.99,PAID,2025-05-15
inv_21,usr_7,29.99,FAILED,2025-05-12
inv_22,usr_8,299.99,FAILED,2025-06-11
inv_23,usr_8,99.99,FAILED,2025-05-13
inv_24,usr_8,99.99,FAILED,2025-06-03
inv_25,usr_9,99.99,FAILED,2025-04-13
inv_26,usr_9,99.99,FAILED,2025-04-28
inv_27,usr_9,99.99,PAID,2025-05-31
inv_28,usr_10,29.99,FAILED,2025-04-03
inv_29,usr_10,99.99,FAILED,2025-05-21
inv_30,usr_10,299.99,PAID,2025-05-12
inv_31,usr_11,99.99,FAILED,2025-04-04
inv_32,usr_11,99.99,FAILED,2025-04-15
inv_33,usr_11,29.99,FAILED,2025-04-14
inv_34,usr_12,299.99,FAILED,2025-06-03
inv_35,usr_12,99.99,PAID,2025-06-13
inv_36,usr_12,299.99,FAILED,2025-06-03
inv_37,usr_13,29.99,FAILED,2025-04-11
inv_38,usr_13,29.99,PAID,2025-04-16
inv_39,usr_13,29.99,PAID,2025-06-15
inv_40,usr_14,299.99,FAILED,2025-04-29
inv_41,usr_14,29.99,FAILED,2025-05-27
inv_42,usr_14,99.99,PAID,2025-05-03
inv_43,usr_15,29.99,FAILED,2025-05-15
inv_44,usr_15,29.99,FAILED,2025-06-14
inv_45,usr_15,29.99,FAILED,2025-06-11
inv_46,usr_16,299.99,PAID,2025-04-13
inv_47,usr_16,29.99,FAILED,2025-05-09
inv_48,usr_16,99.99,FAILED,2025-05-01
inv_49,usr_17,29.99,PAID,2025-04-17
inv_50,usr_17,99.99,FAILED,2025-05-26
inv_51,usr_17,29.99,FAILED,2025-04-13
inv_52,usr_18,99.99,PAID,2025-05-03
inv_53,usr_18,29.99,PAID,2025-06-01
inv_54,usr_18,99.99,FAILED,2025-05-21
inv_55,usr_19,99.99,PAID,2025-05-08
inv_56,usr_19,299.99,FAILED,2025-04-24
inv_57,usr_19,99.99,FAILED,2025-04-18
inv_58,usr_20,29.99,FAILED,2025-05-23
inv_59,usr_20,99.99,FAILED,2025-05-03
inv_60,usr_20,29.99,FAILED,2025-04-20
inv_61,usr_21,99.99,PAID,2025-04-25
inv_62,usr_21,299.99,FAILED,2025-04-15
inv_63,usr_21,29.99,FAILED,2025-04-14
inv_64,usr_22,99.99,FAILED,2025-05-23
