user_id,signup_date,tier,ip_address,last_user_agent
usr_1,2024-12-09,Basic,192.168.197.110,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_2,2024-12-11,Basic,192.168.177.134,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_3,2023-11-11,Pro,192.168.194.131,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_4,2023-09-08,Basic,192.168.114.47,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_5,2023-10-14,Pro,192.168.164.139,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_6,2024-05-03,Pro,192.168.57.226,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_7,2023-08-28,Pro,192.168.211.42,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_8,2023-12-02,Enterprise,192.168.90.114,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_9,2023-12-16,Basic,192.168.198.93,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_10,2024-04-04,Basic,192.168.11.189,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_11,2023-07-20,Enterprise,192.168.189.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_12,2023-07-30,Basic,192.168.94.203,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_13,2024-04-25,Basic,192.168.33.84,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_14,2024-02-23,Basic,192.168.170.41,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_15,2024-01-14,Basic,192.168.178.196,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_16,2024-05-12,Basic,192.168.205.229,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_17,2024-09-08,Basic,192.168.174.212,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_18,2023-09-30,Pro,192.168.1.199,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_19,2024-04-20,Pro,192.168.179.142,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_20,2024-03-30,Basic,192.168.145.63,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_21,2024-05-09,Basic,192.168.170.218,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_22,2024-12-15,Pro,192.168.195.144,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_23,2024-12-08,Basic,192.168.142.154,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_24,2024-07-05,Basic,192.168.111.71,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_25,2023-06-07,Basic,192.168.217.209,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_26,2023-08-30,Basic,192.168.71.111,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_27,2024-11-16,Pro,192.168.142.254,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_28,2024-05-28,Pro,192.168.103.82,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_29,2024-07-13,Basic,192.168.5.196,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_30,2023-12-04,Basic,192.168.117.229,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_31,2023-07-10,Pro,192.168.38.126,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_32,2024-10-23,Basic,192.168.97.174,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_33,2024-01-28,Basic,192.168.92.88,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_34,2024-07-10,Enterprise,192.168.245.126,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_35,2024-04-28,Enterprise,192.168.67.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_36,2024-08-26,Basic,192.168.182.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_37,2024-12-15,Enterprise,192.168.24.33,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_38,2023-11-30,Basic,192.168.51.206,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_39,2024-03-05,Enterprise,192.168.45.5,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_40,2024-04-07,Basic,192.168.183.79,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_41,2024-11-08,Pro,192.168.148.160,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_42,2023-10-28,Basic,192.168.106.46,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_43,2024-10-10,Basic,192.168.84.173,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_44,2024-10-18,Basic,192.168.149.77,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_45,2023-06-09,Basic,192.168.148.156,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_46,2024-08-06,Enterprise,192.168.5.107,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_47,2024-04-23,Basic,192.168.199.71,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_48,2023-12-20,Enterprise,192.168.125.41,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_49,2024-03-08,Basic,192.168.120.243,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_50,2024-03-06,Basic,192.168.132.73,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_51,2024-06-25,Enterprise,192.168.210.138,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 Safari/537.36
usr_52,2024-08-01,Basic,192.168.141.170,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_53,2024-11-21,Pro,192.168.71.186,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_54,2023-07-10,Basic,192.168.196.157,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
usr_55,2023-06-18,Basic,192.168.58.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
usr_56,2024-03-05,Pro,192.168.94.117,Mozilla/5.0 (X11; Linux x86_64) Firefox/126.0
