call_id,subscriber_id,call_timestamp,duration_sec,call_status,tower_id
call_1,sub_1,2025-05-06T08:02:10Z,850,COMPLETED,TWR_A
call_2,sub_1,2025-04-08T11:14:27Z,595,COMPLETED,TWR_B
call_3,sub_1,2025-05-24T17:56:03Z,5,DROPPED,TWR_A
call_4,sub_1,2025-04-18T04:51:46Z,937,COMPLETED,TWR_C
call_5,sub_1,2025-04-14T09:37:39Z,415,COMPLETED,TWR_C
call_6,sub_1,2025-05-17T02:16:27Z,50,DROPPED,TWR_C
call_7,sub_1,2025-04-22T03:40:42Z,88,COMPLETED,TWR_C
call_8,sub_1,2025-05-21T19:40:31Z,5,DROPPED,TWR_C
call_9,sub_1,2025-05-05T03:56:25Z,1141,COMPLETED,TWR_C
call_10,sub_1,2025-05-04T16:01:37Z,982,COMPLETED,TWR_C
call_11,sub_1,2025-05-29T03:38:47Z,70,DROPPED,TWR_C
call_12,sub_1,2025-04-19T07:01:59Z,757,COMPLETED,TWR_B
call_13,sub_2,2025-05-13T21:29:26Z,1127,COMPLETED,TWR_A
call_14,sub_2,2025-05-10T18:55:39Z,1117,COMPLETED,TWR_B
call_15,sub_2,2025-04-27T02:45:27Z,817,COMPLETED,TWR_A
call_16,sub_2,2025-04-05T08:57:58Z,375,COMPLETED,TWR_A
call_17,sub_2,2025-05-05T02:56:58Z,938,COMPLETED,TWR_C
call_18,sub_2,2025-05-01T20:50:36Z,962,COMPLETED,TWR_A
call_19,sub_2,2025-05-21T03:08:53Z,779,COMPLETED,TWR_A
call_20,sub_2,2025-04-30T09:16:42Z,855,COMPLETED,TWR_C
call_21,sub_2,2025-04-19T14:45:03Z,54,DROPPED,TWR_A
call_22,sub_2,2025-04-21T11:06:57Z,61,DROPPED,TWR_A
call_23,sub_2,2025-05-12T00:15:32Z,440,COMPLETED,TWR_B
call_24,sub_2,2025-04-26T19:43:09Z,1103,COMPLETED,TWR_A
call_25,sub_3,2025-05-14T08:02:27Z,82,DROPPED,TWR_A
call_26,sub_3,2025-04-17T08:00:18Z,705,COMPLETED,TWR_A
call_27,sub_3,2025-04-01T14:05:23Z,455,COMPLETED,TWR_C
call_28,sub_3,2025-04-23T10:14:22Z,996,COMPLETED,TWR_A
call_29,sub_3,2025-04-09T00:21:50Z,630,COMPLETED,TWR_B
call_30,sub_3,2025-05-05T09:35:45Z,267,COMPLETED,TWR_A
call_31,sub_3,2025-05-01T01:25:16Z,322,COMPLETED,TWR_A
call_32,sub_3,2025-04-12T03:39:50Z,47,DROPPED,TWR_A
call_33,sub_3,2025-04-19T05:57:47Z,688,COMPLETED,TWR_C
call_34,sub_3,2025-05-06T02:42:00Z,55,DROPPED,TWR_A
call_35,sub_3,2025-05-28T09:53:46Z,751,COMPLETED,TWR_A
call_36,sub_3,2025-04-05T13:16:54Z,58,COMPLETED,TWR_B
call_37,sub_4,2025-04-06T17:59:26Z,984,COMPLETED,TWR_C
call_38,sub_4,2025-05-18T21:47:55Z,106,COMPLETED,TWR_A
call_39,sub_4,2025-04-26T05:12:13Z,50,COMPLETED,TWR_A
call_40,sub_4,2025-04-03T18:16:21Z,952,COMPLETED,TWR_A
call_41,sub_4,2025-04-05T08:24:27Z,288,COMPLETED,TWR_C
call_42,sub_4,2025-05-04T11:16:51Z,945,COMPLETED,TWR_B
call_43,sub_4,2025-04-13T16:19:00Z,969,COMPLETED,TWR_C
call_44,sub_4,2025-04-15T22:13:16Z,1052,COMPLETED,TWR_C
call_45,sub_4,2025-05-20T21:16:21Z,69,DROPPED,TWR_B
call_46,sub_4,2025-04-25T15:05:38Z,358,COMPLETED,TWR_C
call_47,sub_4,2025-04-24T04:41:53Z,775,COMPLETED,TWR_A
call_48,sub_4,2025-04-28T13:08:51Z,54,COMPLETED,TWR_C
call_49,sub_5,2025-04-21T17:08:49Z,175,COMPLETED,TWR_C
call_50,sub_5,2025-05-06T08:50:02Z,643,COMPLETED,TWR_A
call_51,sub_5,2025-04-03T08:24:51Z,739,COMPLETED,TWR_C
