rec_id,subscriber_id,amount,recharge_date
rec_1,sub_2,50,2025-04-24
rec_2,sub_2,100,2025-04-02
rec_3,sub_2,20,2025-03-21
rec_4,sub_2,50,2025-03-14
rec_5,sub_2,10,2025-03-08
rec_6,sub_3,20,2025-04-30
rec_7,sub_3,20,2025-04-06
rec_8,sub_3,100,2025-03-23
rec_9,sub_3,50,2025-03-14
rec_10,sub_3,10,2025-03-09
rec_11,sub_5,100,2025-04-22
rec_12,sub_5,10,2025-04-03
rec_13,sub_5,100,2025-03-18
rec_14,sub_5,100,2025-03-10
rec_15,sub_5,100,2025-03-06
rec_16,sub_7,50,2025-04-18
rec_17,sub_7,100,2025-03-30
rec_18,sub_7,20,2025-03-15
rec_19,sub_7,20,2025-03-07
rec_20,sub_8,100,2025-04-20
rec_21,sub_8,10,2025-03-31
rec_22,sub_8,50,2025-03-20
rec_23,sub_8,50,2025-03-14
rec_24,sub_8,10,2025-03-08
rec_25,sub_9,50,2025-05-01
rec_26,sub_9,50,2025-04-05
rec_27,sub_9,50,2025-03-22
rec_28,sub_9,100,2025-03-16
rec_29,sub_9,20,2025-03-10
rec_30,sub_11,50,2025-04-30
rec_31,sub_11,50,2025-04-07
rec_32,sub_11,50,2025-03-25
rec_33,sub_11,50,2025-03-16
rec_34,sub_11,20,2025-03-10
rec_35,sub_12,100,2025-05-03
rec_36,sub_12,10,2025-04-06
rec_37,sub_12,10,2025-03-21
rec_38,sub_12,20,2025-03-13
rec_39,sub_12,10,2025-03-09
rec_40,sub_14,10,2025-04-23
rec_41,sub_14,100,2025-03-30
rec_42,sub_14,50,2025-03-19
rec_43,sub_14,10,2025-03-13
rec_44,sub_14,10,2025-03-08
rec_45,sub_15,20,2025-05-06
rec_46,sub_15,50,2025-04-15
rec_47,sub_15,10,2025-04-03
rec_48,sub_15,10,2025-03-26
rec_49,sub_15,100,2025-03-20
rec_50,sub_16,100,2025-05-07
rec_51,sub_16,50,2025-04-16
rec_52,sub_16,10,2025-04-03
rec_53,sub_16,10,2025-03-27
rec_54,sub_16,50,2025-03-22
rec_55,sub_17,100,2025-04-20
rec_56,sub_17,10,2025-03-27
rec_57,sub_17,20,2025-03-15
rec_58,sub_17,100,2025-03-06
rec_59,sub_18,10,2025-05-07
rec_60,sub_18,50,2025-04-13
rec_61,sub_18,50,2025-03-30
rec_62,sub_18,10,2025-03-21
rec_63,sub_18,50,2025-03-15
rec_64,sub_19,20,2025-04-25
rec_65,sub_19,20,2025-04-01
rec_66,sub_19,50,2025-03-20
rec_67,sub_19,50,2025-03-14
rec_68,sub_19,50,2025-03-09
rec_69,sub_20,10,2025-04-19
rec_70,sub_20,50,2025-03-27
rec_71,sub_20,10,2025-03-16
rec_72,sub_20,100,2025-03-09
rec_73,sub_20,50,2025-03-03
rec_74,sub_21,10,2025-05-07
rec_75,sub_21,100,2025-04-13
rec_76,sub_21,20,2025-04-01
rec_77,sub_21,10,2025-03-25
rec_78,sub_21,10,2025-03-19
rec_79,sub_22,10,2025-04-24
rec_80,sub_22,100,2025-04-02
rec_81,sub_22,20,2025-03-17
rec_82,sub_22,20,2025-03-08
rec_83,sub_22,10,2025-03-03
rec_84,sub_23,10,2025-04-19
rec_85,sub_23,20,2025-03-25
rec_86,sub_23,100,2025-03-14
rec_87,sub_23,100,2025-03-06
rec_88,sub_24,10,2025-05-01
rec_89,sub_24,20,2025-04-09
rec_90,sub_24,100,2025-03-28
rec_91,sub_24,100,2025-03-20
rec_92,sub_24,20,2025-03-14
rec_93,sub_25,10,2025-04-26
rec_94,sub_25,100,2025-04-05
rec_95,sub_25,50,2025-03-22
rec_96,sub_25,10,2025-03-15
rec_97,sub_25,10,2025-03-11
rec_98,sub_26,20,2025-05-24
rec_99,sub_26,20,2025-05-18
rec_100,sub_26,10,2025-05-09
rec_101,sub_26,50,2025-04-30
rec_102,sub_26,50,2025-04-22
rec_103,sub_27,50,2025-05-28
rec_104,sub_27,100,2025-05-18
rec_105,sub_27,50,2025-05-09
rec_106,sub_27,50,2025-05-03
rec_107,sub_27,100,2025-04-25
rec_108,sub_28,10,2025-05-24
rec_109,sub_28,100,2025-05-18
rec_110,sub_28,100,2025-05-10
rec_111,sub_28,50,2025-05-03
rec_112,sub_28,10,2025-04-23
rec_113,sub_29,20,2025-05-28
rec_114,sub_29,100,2025-05-22
rec_115,sub_29,10,2025-05-15
rec_116,sub_29,20,2025-05-08
rec_117,sub_29,50,2025-04-30
rec_118,sub_32,10,2025-05-25
rec_119,sub_32,100,2025-05-19
rec_120,sub_32,50,2025-05-11
rec_121,sub_32,10,2025-05-02
rec_122,sub_32,100,2025-04-22
rec_123,sub_33,20,2025-05-25
rec_124,sub_33,50,2025-05-18
rec_125,sub_33,20,2025-05-08
rec_126,sub_33,100,2025-04-28
rec_127,sub_33,20,2025-04-19
rec_128,sub_34,100,2025-05-29
rec_129,sub_34,100,2025-05-23
rec_130,sub_34,20,2025-05-15
rec_131,sub_34,10,2025-05-07
rec_132,sub_34,50,2025-04-27
rec_133,sub_36,20,2025-05-28
rec_134,sub_36,50,2025-05-21
rec_135,sub_36,100,2025-05-14
rec_136,sub_36,10,2025-05-06
rec_137,sub_36,10,2025-04-30
rec_138,sub_40,50,2025-05-28
rec_139,sub_40,100,2025-05-21
rec_140,sub_40,50,2025-05-13
