subscriber_id,plan,region,sim_imsi_hash
sub_1,Postpaid,South,imsi_139397
sub_2,Prepaid,South,imsi_855290
sub_3,Prepaid,West,imsi_302234
sub_4,Postpaid,South,imsi_337322
sub_5,Prepaid,East,imsi_505927
sub_6,Postpaid,South,imsi_902710
sub_7,Prepaid,West,imsi_350680
sub_8,Prepaid,South,imsi_103669
sub_9,Prepaid,East,imsi_956577
sub_10,Postpaid,South,imsi_581614
sub_11,Prepaid,West,imsi_950613
sub_12,Prepaid,East,imsi_948580
sub_13,Postpaid,North,imsi_130388
sub_14,Prepaid,West,imsi_785078
sub_15,Prepaid,North,imsi_407658
sub_16,Prepaid,East,imsi_595940
sub_17,Prepaid,East,imsi_505872
sub_18,Prepaid,East,imsi_207253
sub_19,Prepaid,West,imsi_554096
sub_20,Prepaid,East,imsi_476052
sub_21,Prepaid,South,imsi_183982
sub_22,Prepaid,East,imsi_166650
sub_23,Prepaid,West,imsi_174584
sub_24,Prepaid,North,imsi_865691
sub_25,Prepaid,South,imsi_174470
sub_26,Prepaid,North,imsi_482048
sub_27,Prepaid,West,imsi_236378
sub_28,Prepaid,North,imsi_858773
sub_29,Prepaid,West,imsi_616266
sub_30,Postpaid,East,imsi_786921
sub_31,Postpaid,South,imsi_389755
sub_32,Prepaid,North,imsi_111433
sub_33,Prepaid,West,imsi_645854
sub_34,Prepaid,West,imsi_890933
sub_35,Postpaid,East,imsi_546881
sub_36,Prepaid,West,imsi_550518
sub_37,Postpaid,North,imsi_892769
sub_38,Postpaid,South,imsi_693014
sub_39,Postpaid,West,imsi_718333
sub_40,Prepaid,North,imsi_461585
sub_41,Prepaid,West,imsi_537708
sub_42,Postpaid,North,imsi_677373
sub_43,Postpaid,South,imsi_552412
sub_44,Prepaid,East,imsi_728912
sub_45,Postpaid,East,imsi_297525
sub_46,Postpaid,West,imsi_302206
sub_47,Postpaid,East,imsi_426119
sub_48,Prepaid,West,imsi_993902
sub_49,Postpaid,East,imsi_355023
sub_50,Postpaid,East,imsi_777385
sub_51,Prepaid,South,imsi_939847
sub_52,Postpaid,West,imsi_338879
sub_53,Postpaid,South,imsi_281710
sub_54,Prepaid,West,imsi_795379
sub_55,Postpaid,West,imsi_546373
sub_56,Prepaid,East,imsi_354075
sub_57,Prepaid,North,imsi_676251
sub_58,Postpaid,South,imsi_772766
sub_59,Postpaid,East,imsi_782951
sub_60,Prepaid,North,imsi_958106
sub_61,Prepaid,West,imsi_507882
sub_62,Postpaid,North,imsi_778104
sub_63,Prepaid,South,imsi_535014
sub_64,Postpaid,South,imsi_557117
sub_65,Prepaid,West,imsi_942976
sub_66,Postpaid,North,imsi_686627
sub_67,Prepaid,East,imsi_230241
sub_68,Prepaid,West,imsi_373945
sub_69,Prepaid,North,imsi_863323
sub_70,Prepaid,West,imsi_243482
sub_71,Prepaid,North,imsi_675309
sub_72,Prepaid,West,imsi_214653
sub_73,Postpaid,West,imsi_649041
sub_74,Postpaid,East,imsi_289793
sub_75,Postpaid,West,imsi_231690
sub_76,Prepaid,South,imsi_823866
sub_77,Prepaid,East,imsi_182079
sub_78,Prepaid,East,imsi_531138
sub_79,Prepaid,West,imsi_724561
sub_80,Postpaid,West,imsi_673310
sub_81,Postpaid,South,imsi_976370
sub_82,Postpaid,North,imsi_453423
sub_83,Prepaid,North,imsi_876487
sub_84,Prepaid,South,imsi_825617
sub_85,Prepaid,North,imsi_257402
sub_86,Prepaid,West,imsi_452609
sub_87,Prepaid,West,imsi_962708
sub_88,Prepaid,South,imsi_204154
sub_89,Prepaid,South,imsi_165802
sub_90,Prepaid,East,imsi_814538
sub_91,Postpaid,North,imsi_459356
sub_92,Postpaid,West,imsi_477991
sub_93,Prepaid,South,imsi_466771
sub_94,Prepaid,North,imsi_232771
sub_95,Prepaid,East,imsi_369323
sub_96,Prepaid,West,imsi_622568
sub_97,Postpaid,South,imsi_628935
sub_98,Postpaid,West,imsi_980708
sub_99,Prepaid,West,imsi_192149
sub_100,Prepaid,West,imsi_858703
